lat,lon,tract
41.5160001943,-112.008917911,49003960601
41.5292573118,-111.984396341,49003960602
41.4966365237,-112.006914973,49003960702
41.5624647499,-112.282524707,49003960400
41.7027477659,-112.151614706,49003960300
41.7175081481,-112.080067203,49003960200
41.5180379522,-113.174138203,49003960100
41.4699858976,-112.037066374,49003960802
41.4956673388,-112.027008557,49003960701
41.4234685766,-112.000524501,49003960801
41.4461497987,-112.161065928,49003960500
40.6458847077,-112.013511853,49035113803
40.6575810347,-111.845170125,49035111102
40.6191504455,-111.864775297,49035112502
40.6754035746,-111.933202915,49035113511
40.6621053349,-112.008315762,49035113802
40.660044232,-111.994005624,49035113600
40.7671121746,-111.715636419,49035110103
40.6811964762,-111.811585634,49035110600
40.5776347443,-111.895892171,49035112605
40.6469665984,-111.821466643,49035111001
40.6749688847,-111.959966305,49035113520
40.6458400035,-111.96260163,49035113532
40.62872495,-111.814373125,49035111002
40.7152281543,-111.965141033,49035113307
40.7294608589,-111.862481618,49035103300
40.5114393467,-111.948220867,49035113017
40.5968104142,-111.993139619,49035113101
40.5631802783,-111.873579841,49035112812
40.7613178297,-111.918207694,49035102600
40.5852835396,-111.983850179,49035113102
40.6257185233,-111.881312868,49035112501
40.7650011165,-111.882502592,49035102100
40.6401800022,-111.844845698,49035111103
40.7327178028,-111.921634389,49035102802
40.7179779865,-111.821525504,49035104400
40.7049177723,-111.835918862,49035110300
40.6034699388,-111.881928896,49035112610
40.631296905,-111.957829287,49035112905
40.6397807517,-111.912276508,49035112201
40.641669799,-111.941218284,49035113533
40.737947721,-111.812793543,49035104200
40.6747547643,-111.945687657,49035113510
40.6921986794,-111.903358527,49035111600
40.6686822994,-111.921254298,49035113514
40.6568004345,-111.945446357,49035113513
40.6808502318,-111.833873934,49035110702
40.5308823175,-111.948477576,49035113014
40.6516307459,-112.135908171,49035113907
40.4599214195,-112.004623699,49035115106
40.5616160213,-112.034121178,49035115209
40.8174748642,-111.943845581,49035114700
40.4952750241,-111.901385411,49035112818
40.6083223698,-112.019747509,49035114300
40.519100059,-111.92802113,49035114600
40.6019610871,-111.923276628,49035114200
40.6313598773,-111.97528288,49035112904
40.6742523444,-111.72015353,49035110104
40.5729713952,-111.861736568,49035112604
40.6237568791,-111.933994618,49035112914
40.6477184977,-111.860166359,49035111101
40.7059077937,-111.810790829,49035110200
40.7131755511,-111.907118834,49035111500
40.6240783384,-111.943517188,49035112907
40.7657469945,-111.903579244,49035102500
40.6042033042,-111.685266644,49035110102
40.7375656216,-111.879631691,49035103100
40.7294729467,-111.879636866,49035103200
40.7223176888,-111.850060697,49035114100
40.8023479641,-111.825973701,49035114800
40.7575921365,-111.897465641,49035114000
40.7391820511,-111.987063625,49035114500
40.6088360459,-111.846129243,49035112618
40.6936047031,-111.846531648,49035110401
40.6783772574,-112.012650131,49035113538
40.600294691,-111.897217232,49035112402
40.6275763609,-112.015556443,49035113528
40.6023370714,-111.862601873,49035112611
40.5521700061,-111.8175752,49035112814
40.6675847838,-111.835493722,49035110800
40.711065443,-112.077385559,49035113903
40.7001948118,-112.015307628,49035113412
40.5725660338,-111.971327755,49035113008
40.6438976173,-111.992615398,49035113701
40.6749967478,-111.981669048,49035113536
40.6881961767,-111.969370668,49035113309
40.5162859787,-112.019562615,49035113107
40.5495712655,-111.969749409,49035113019
40.5933520741,-112.013300109,49035113108
40.7000987593,-112.077436177,49035113904
40.6893556774,-111.981842375,49035113411
40.7002453089,-111.991428703,49035113406
40.6893159456,-112.015241088,49035113413
40.5950205075,-111.933950686,49035112918
40.6583606119,-112.017504351,49035113801
40.6314422001,-112.039379543,49035113534
40.530506422,-111.90529039,49035112817
40.5057736815,-111.869501345,49035112816
40.609537256,-111.911477431,49035112403
40.6765757182,-111.874436659,49035111905
40.6806830023,-111.862747,49035111903
40.6699790225,-111.879508449,49035112001
40.6934671484,-111.882608253,49035111701
40.6555404503,-111.928506618,49035113515
40.6498816115,-111.881179273,49035112301
40.6151373554,-111.881443472,49035112503
40.6894990866,-111.945468449,49035113306
40.6166266798,-112.029580699,49035113535
40.6477545222,-111.997424131,49035113702
40.6726009906,-112.016762828,49035113539
40.5515539722,-111.881549617,49035112822
40.6748426728,-111.972261412,49035113537
40.6907558193,-111.958532926,49035113310
40.525918825,-112.11796568,49035113105
40.5296056732,-111.975512321,49035113013
40.6935485665,-111.810371023,49035110500
40.5912385818,-111.82288546,49035112615
40.6892398688,-112.077455838,49035113905
40.6191819058,-111.844134846,49035111202
40.5515671993,-111.994049939,49035113020
40.5884692868,-111.960647201,49035112921
40.753873532,-111.930558475,49035102701
40.4978810988,-111.841295905,49035112821
40.5140771112,-111.879999096,49035112819
40.6458598325,-111.977032838,49035113523
40.6603429479,-111.960100737,49035113522
40.6024874872,-111.974185206,49035112916
40.7375697841,-111.862472078,49035103400
40.5646060737,-111.823058615,49035112617
40.7373592034,-111.832918151,49035104000
40.5350865441,-111.880384614,49035112823
40.5928623059,-111.945382263,49035112920
40.795679927,-111.945606959,49035100307
40.6192133632,-111.897392488,49035112404
40.6820038527,-111.881892349,49035111906
40.5981634971,-111.841052928,49035112619
40.7165364032,-111.872255654,49035104900
40.7157568909,-111.84827208,49035104700
40.7153532901,-111.882461092,49035111400
40.7296413867,-111.848072384,49035103800
40.8124053224,-111.870302239,49035100200
40.558940225,-111.92077304,49035113012
40.7375726158,-111.848073855,49035103700
40.6415829952,-111.89597814,49035112202
40.6701903312,-111.862470211,49035111904
40.6569923494,-111.874573796,49035112002
40.6933763504,-111.831766418,49035110402
40.6994482299,-111.877098291,49035111702
40.7033843727,-111.862533783,49035111802
40.7727949602,-111.875307423,49035101101
40.6934786328,-111.862690027,49035111801
40.7457125441,-111.862474301,49035103500
40.7552016517,-111.866755793,49035101800
40.6350061226,-112.015699606,49035113527
40.6462762538,-112.046081002,49035113526
40.7295411862,-111.833658179,49035103900
40.7463530691,-111.848076164,49035103600
40.7650040807,-111.875349498,49035101900
40.7730277244,-111.883169466,49035101102
40.795036586,-111.938749813,49035100308
40.8045591105,-112.096891856,49035113906
40.7647220106,-111.932113506,49035102702
40.4792320114,-111.879671046,49035112820
40.6282267958,-111.845388436,49035111201
40.5877890015,-111.862657689,49035112612
40.7650072455,-111.857402033,49035101500
40.7549062619,-111.883723446,49035102300
40.7553837702,-111.857561801,49035101600
40.7650052362,-111.866758351,49035101700
40.7729740849,-111.892868933,49035100800
40.7457025726,-111.879636042,49035103000
40.6911961202,-111.930844,49035113509
40.6164062656,-111.974631885,49035112912
40.6892603245,-112.053494062,49035113408
40.5891248355,-111.881189045,49035112700
40.7111635766,-112.043846643,49035113407
40.5963691221,-111.80164302,49035111304
40.6185396409,-111.824290894,49035111305
40.598865331,-111.820001583,49035112614
40.6603114317,-111.977152874,49035113521
40.780346595,-111.873754101,49035101000
40.7002660001,-111.965023953,49035113308
40.689292957,-112.034355993,49035113409
40.7866802006,-111.924357342,49035100500
40.7813151443,-111.894685922,49035100700
40.5294707566,-111.796957665,49035112815
40.5714950536,-111.943525588,49035113010
40.725883528,-111.818709123,49035104300
40.5508836378,-111.943417549,49035113011
40.7751335995,-111.9443984,49035100306
40.6167646783,-111.957815535,49035112913
40.679115272,-111.920655862,49035113512
40.776949702,-111.924647817,49035100600
40.7743885457,-111.861378715,49035101200
40.7662208107,-111.828949502,49035101400
40.4780267008,-111.939965754,49035112810
40.7112216853,-111.93862188,49035113305
40.608396246,-111.821067071,49035111306
40.6156482293,-111.803343097,49035111302
40.5488811156,-111.842912459,49035112813
40.7459444888,-111.835961058,49035104100
40.6681644746,-112.056634916,49035113525
40.5729363724,-111.996639783,49035113007
40.5114396282,-111.975386967,49035113016
40.7552214419,-111.875346797,49035102000
40.6362770699,-111.877489005,49035112302
40.535760502,-111.861376581,49035112805
40.7903413626,-111.909920299,49035100100
40.5515335699,-111.862780299,49035112804
40.582868736,-111.816057118,49035112609
40.709428338,-111.85231945,49035104800
40.7378565331,-111.896514109,49035102900
40.5873993145,-111.844161717,49035112608
40.5740920052,-111.823555942,49035112616
40.7450860701,-111.922566306,49035102801
40.5708525756,-111.845106124,49035112613
40.6643490086,-111.903492653,49035112100
40.6045230459,-111.955132619,49035112917
40.6893277489,-111.996159196,49035113410
40.6745913165,-111.995971214,49035113505
40.6803670581,-111.848611848,49035110701
40.6678462208,-111.813704984,49035110900
40.5134445811,-111.513277614,49051960400
40.3110219811,-111.132795391,49051940500
40.5073019322,-111.401109948,49051960200
40.5145501018,-111.425071989,49051960100
41.2235693304,-112.244381684,49057210403
41.1578617434,-112.074357434,49057210510
41.1688956929,-112.059601443,49057210508
41.1696784885,-112.073774114,49057210509
41.2598450158,-112.066422421,49057210404
41.2162976767,-111.958037192,49057201301
41.2109490509,-111.956606535,49057201302
41.1915103776,-111.993256872,49057210511
41.1691326042,-112.004411133,49057210512
41.3154632067,-112.003303,49057210304
41.3376858743,-111.985389119,49057210303
41.310247897,-111.949635098,49057210203
41.2979967683,-111.954155646,49057210204
41.2836490741,-111.956360266,49057200204
41.2731288547,-111.958048979,49057200203
41.2036942742,-111.962622233,49057201700
41.1570350053,-112.043108856,49057210704
41.169230918,-112.03227715,49057210701
41.2877067573,-112.021822506,49057210402
41.1966464165,-111.953297424,49057201600
41.2279426913,-111.963693514,49057200900
41.1749480413,-111.958689095,49057210900
41.2029414027,-111.97655258,49057201800
41.3185814456,-111.955031017,49057210201
41.2616844836,-111.949167672,49057200100
41.1967520248,-111.938253214,49057201500
41.2122298078,-111.975531382,49057201200
41.3094926142,-111.709430798,49057210100
41.2303099959,-111.937477355,49057200700
41.2212948359,-112.069702778,49057210505
41.2224618188,-111.979973486,49057201100
41.208097089,-112.007697851,49057201900
41.1849980147,-112.031217767,49057210600
41.181311842,-111.978023668,49057211000
41.1737743407,-112.132303635,49057210504
41.2169492651,-111.940064301,49057201400
41.1877622782,-112.057585173,49057210506
41.1504490993,-111.946956317,49057211202
41.1725028078,-111.93871579,49057202000
41.2423488843,-111.957742138,49057200500
41.1647187908,-111.97980985,49057211100
41.2467716392,-111.940684003,49057200600
41.2611534478,-111.993149424,49057200300
41.2594702214,-111.96363611,49057200202
41.2401364273,-111.979620714,49057200400
41.2270746596,-111.953431671,49057200800
41.193406838,-111.969746968,49057210800
41.1684420159,-112.048991352,49057210703
41.2880530128,-111.984158371,49057210302
41.1566540552,-111.893398758,49057211201
40.383301928,-111.75042399,49049010215
40.4239701031,-111.865682424,49049010214
40.3981321143,-111.760357922,49049010213
40.4512711135,-111.87634491,49049010212
40.4876382921,-111.744377751,49049010211
40.4005845388,-111.73068712,49049010210
40.4440081833,-111.767323889,49049010209
40.4467922044,-111.792119798,49049010208
40.229841298,-111.672173773,49049002300
40.3007535181,-111.711067001,49049000802
40.2784924395,-111.70798433,49049001103
41.0963261592,-111.966589855,49011125807
41.0570935619,-111.992371509,49011126002
41.0748480293,-112.035700289,49011125406
41.1122682287,-112.016378006,49011125702
41.0989750398,-112.012361304,49011125701
41.0971569018,-111.985673394,49011125808
41.0826901705,-111.927300767,49011125908
41.0011441085,-111.898069994,49011126203
41.1282214057,-111.950508159,49011125103
41.1223765433,-111.887782978,49011125104
40.9501971291,-111.855622431,49011126303
40.8627486111,-111.884024747,49011126902
40.8759917304,-111.886169813,49011126901
40.8637533554,-111.862925383,49011126802
40.8769824482,-111.861058683,49011126801
40.8890364651,-111.884445156,49011126700
40.3434122751,-111.710221373,49049000603
40.3614347136,-111.758413504,49049000509
40.3709263825,-111.752411851,49049000508
40.3582887048,-111.696759091,49049000507
40.356610189,-111.724661092,49049000506
40.3700582749,-111.707084033,49049000505
40.3675101212,-111.729760161,49049000504
40.3950874323,-111.80846137,49049000206
40.4028124652,-111.81152476,49049000205
40.6490254069,-111.476246483,49043964402
40.7120631232,-111.519110206,49043964307
40.6781723642,-111.569525811,49043964305
40.7754978589,-111.60247054,49043964303
40.7756798174,-111.507278226,49043964306
40.7314140023,-111.59027022,49043964304
40.6862865125,-111.499417677,49043964308
40.642945758,-111.529721404,49043964401
41.0467159237,-111.274764874,49043964101
40.8791113563,-111.201031179,49043964102
40.7253017172,-111.259983309,49043964202
40.4064272496,-111.835816064,49049000105
40.4073444305,-111.850348514,49049000104
40.2164889487,-111.841192434,49049010113
40.3577623256,-111.809500044,49049010112
40.3733501711,-111.884799434,49049010111
40.6365680116,-111.276090445,49043964201
40.8431398702,-110.630085882,49043964203
40.3961426277,-111.884712447,49049010110
40.3850613869,-111.92370774,49049010109
40.4246695007,-111.89926742,49049010108
40.2415218219,-112.081243583,49049010107
40.326566737,-111.935284816,49049010106
40.3661572346,-111.983869292,49049010105
40.3470085338,-111.975304341,49049010104
40.276434608,-111.988441754,49049010103
40.1061007164,-111.632043436,49049003205
40.1103247134,-111.64763862,49049003204
40.1493583878,-111.604134732,49049003106
40.1623445651,-111.600268593,49049003105
40.1578899297,-111.56515912,49049003104
40.1539611094,-111.589109524,49049003103
40.1745473915,-111.583148802,49049003002
40.178582096,-111.604824293,49049003001
40.1720574384,-111.614281862,49049002902
40.1647664272,-111.631092313,49049002901
40.2022340804,-111.63188015,49049002802
40.2099201107,-111.652975426,49049002801
40.2068632717,-111.608163577,49049002702
40.0643779942,-111.38691454,49049010900
40.3949522463,-111.783195744,49049010700
39.9633036889,-111.801570184,49049010506
39.9850731278,-111.78484069,49049010505
40.0573150595,-111.764925081,49049010504
40.1355279016,-111.717132446,49049010503
39.9430156722,-111.671125357,49049010411
40.0050406937,-111.74278195,49049010410
39.9440065244,-111.763025217,49049010409
40.0490482727,-111.659760728,49049010408
40.0415403648,-111.690166159,49049010407
40.0770725664,-111.659375912,49049010406
40.2322375515,-111.626759379,49049002701
40.2143909564,-111.697441958,49049002207
40.2296382318,-111.691815314,49049002206
40.2385395586,-111.71364045,49049002205
40.2515279243,-111.714801233,49049002204
40.2405892918,-111.635709337,49049001702
40.256320386,-111.623646979,49049001701
40.0891192401,-111.607889845,49049010405
40.0903913166,-111.623655813,49049010404
40.1057062606,-111.563328607,49049010305
40.122508716,-111.61881516,49049010304
40.1402672978,-111.566201038,49049010303
40.4253685851,-111.743983668,49049010220
40.4198862305,-111.787994759,49049010219
40.4185153684,-111.815784944,49049010218
40.4556422004,-111.826663787,49049010217
40.4247107443,-111.839791107,49049010216
40.2803272613,-111.691420985,49049001108
40.2900688461,-111.699670265,49049001107
40.2935516601,-111.715339675,49049001106
40.2862904408,-111.715157979,49049001105
40.3225427661,-111.662443638,49049000711
40.8442437426,-111.927615185,49011127002
40.3301260888,-111.683159637,49049000710
40.32295428,-111.691718978,49049000709
40.3300599482,-111.700971349,49049000708
40.3426679077,-111.683721238,49049000604
40.300807797,-111.676112174,49049000904
40.2595342022,-111.642020393,49049001603
40.0330606672,-111.744884047,49049003403
40.2557893595,-111.659156749,49049001601
40.934532975,-111.900267312,49011126304
40.8999170925,-111.882610533,49011126600
40.8949459768,-111.862035556,49011126500
40.8778203775,-111.810509848,49011126402
40.8731499766,-111.913726969,49011127004
40.9293460776,-111.834956807,49011126305
40.9177636879,-111.881770086,49011126306
40.959501631,-111.953456119,49011126202
40.8864634897,-111.938272039,49011127003
41.1392971902,-112.029735507,49011125301
40.120043365,-111.647237408,49049003201
40.3780617893,-111.780492407,49049000203
40.096933176,-111.642283476,49049003203
40.2396106013,-111.65088191,49049001802
40.2296149603,-111.649727832,49049002500
40.28529446,-111.662565233,49049001401
40.2397329333,-111.676211807,49049002000
40.2507986653,-111.650180967,49049001602
40.2768698557,-111.636904106,49049001503
40.235705872,-111.649855291,49049001803
40.243644302,-111.651181421,49049001801
40.1083211366,-111.664485431,49049003300
41.0598216782,-111.933367946,49011125906
41.082575101,-111.971791911,49011125805
41.1325863654,-112.049896251,49011125305
41.1144833539,-112.054902051,49011125501
41.1460849335,-112.050214575,49011125304
41.0825001235,-111.99537141,49011125801
41.0971725483,-112.032591801,49011125600
41.116086865,-112.035704327,49011125502
41.0963911406,-112.054946269,49011125503
41.0192545834,-111.971690147,49011126104
40.2472340799,-111.681000511,49049002102
40.2585253434,-111.670022096,49049001402
40.2670166024,-111.70359505,49049001201
40.2535860183,-111.687978293,49049002101
40.3081506479,-111.712753692,49049000801
40.3258090635,-111.713777125,49049000707
40.308434286,-111.674070371,49049000903
40.317710351,-111.717072285,49049000706
40.0334588704,-111.723219746,49049003402
41.0169405788,-111.931429917,49011126105
41.0468487211,-111.929665346,49011126101
40.9941160834,-111.846477486,49011126204
41.096962177,-111.934812072,49011125804
41.0706012848,-111.936985484,49011125905
41.1389150579,-112.093567424,49011125303
40.2934779356,-111.681212007,49049001001
40.2742316288,-111.677030799,49049001300
40.2437667224,-111.663131626,49049001900
40.0551606152,-111.712174894,49049003401
40.2658911841,-111.644598986,49049001504
40.2861541441,-111.67920286,49049001002
40.3051286364,-111.692297931,49049000901
39.9727074335,-111.97830187,49049010600
40.3861127518,-111.814687899,49049000204
41.1127288143,-112.21590513,49011125401
41.1264850139,-111.990174725,49011125200
41.0681393947,-111.880494805,49011125102
40.9711294537,-112.223427916,49011125403
40.8337888818,-111.880346052,49011126404
40.315646285,-111.689927031,49049000703
40.2662171427,-111.688634309,49049001202
40.3429768296,-111.740669115,49049000601
40.3690377792,-111.789258878,49049000400
40.3014441073,-111.639503031,49049001501
40.4010489647,-111.860474857,49049000102
40.2966991849,-111.741892653,49049002201
40.3848344912,-111.846509391,49049000103
40.2326202372,-111.661212453,49049002400
41.0296443478,-111.923646804,49011127100
40.8468611949,-111.883216857,49011126405
41.0839394896,-111.945206576,49011125907
41.0638912648,-111.968277502,49011126001
41.074660674,-112.016603693,49011125405
40.8494429489,-111.897364182,49011126406
40.9461308269,-111.676460171,49029970200
41.1695147443,-111.515237014,49029970100
40.5938488856,-112.339923702,49045130702
40.558170298,-112.285437397,49045131001
40.5409264162,-112.286318822,49045131002
40.6017613771,-112.233613803,49045130701
40.2990652921,-112.400916351,49045130703
40.5231405829,-112.290251661,49045131200
40.5217815502,-112.318365834,49045131100
40.5435563187,-112.308692691,49045130900
40.5911658328,-112.462174611,49045130800
40.4433923163,-113.317892974,49045130600
40.8553246666,-112.476695756,49045980000
40.4178337504,-112.037930072,49049980100
40.7936561648,-111.99083455,49035980000
